lob,vintage,model_score,gross_loss,recovery,ltv,apr,ragu_score,amt_financed_x,month_run
AN,2024 Q1,136.3542055374841,0.48808165237656287,9.117012474277418,3.465357531838632,-0.5664881200996402,148.85816907587707,45010883.42,2026 M07
AN,2024 Q2,137.11731341219598,0.9321766368104419,8.994272910061396,4.275402664761421,-0.1976692902704147,151.12149633355884,43539142.19,2026 M07
AN,2024 Q3,138.05869277886566,0.7450166384771217,8.78159312733655,5.859407286963628,-0.16232945678447908,153.2823803748585,30731973.77,2026 M07
AN,2024 Q4,136.7834202134791,0.9053104794432703,9.517436811169027,5.439337523163706,-0.030537626513494894,152.61496740074162,32055598.46,2026 M07
AN,2025 Q1,136.7666107006582,1.1758486718917915,9.418379248150526,5.5930525296348,-0.08316105539928731,152.87073009493605,55665008.660000004,2026 M07
AN,2025 Q2,137.97459986624796,1.9596371478203771,8.98959904326105,6.36652163201216,0.3822293203171162,155.67258700965868,57821338.54,2026 M07
AN,2025 Q3,138.51372792557513,2.246082256871935,9.011532933436674,6.226392623210396,0.6983046750657768,156.6960404141599,51238052.81,2026 M07
AN,2025 Q4,139.3486693985632,2.142355093793657,8.662509672061846,6.580279790106372,0.5477454815669821,157.28155943609207,39321771.870000005,2026 M07
AN,2026 Q1,140.24932411810542,2.1057456568190815,8.131935333365425,6.5589275057976,0.5638954205742521,157.6098280346618,51612471.11,2026 M07
AN,2026 Q2,140.94644639690358,2.294815187463634,7.988367939892809,6.46361353685842,1.302697454255587,158.99594051537403,66142160.04000001,2026 M07
AN,2026 Q3,141.23057160695873,2.5198246721415054,7.892008125341807,7.120841652597694,1.7044515502069049,160.46769760724666,7863583.85,2026 M07
FRN,2024 Q1,138.07791599264306,-0.2450646355560643,7.711137227191501,7.709708116533489,0.08803313659020345,153.34172983740217,130605715.47,2026 M07
FRN,2024 Q2,140.1301929924614,0.17577735272441683,7.045978886169045,7.7641778111211845,0.05471059634375663,155.17083763881982,144442503.78,2026 M07
FRN,2024 Q3,141.48693992933178,0.4321909477413071,6.550419430637344,7.645586683603094,-0.17117365262255935,155.94396333869093,107234184.98,2026 M07
FRN,2024 Q4,139.8796703245951,0.3015216606334221,7.515441367798112,7.648510841929967,-0.4710537876271675,154.87409040732945,117921305.32000001,2026 M07
FRN,2025 Q1,139.75792256188055,0.3951718111267262,7.615321415236051,7.63065226856715,-0.48608150206624395,154.91298655474424,174039312.0,2026 M07
FRN,2025 Q2,140.5457216389785,0.8540121764650969,7.309993134953424,8.635899917089638,-0.3949758940088599,156.9506509734778,177938662.85999998,2026 M07
FRN,2025 Q3,140.88101945499335,1.173006457160402,7.312559419452673,8.731077732294468,-0.4745147731380172,157.62314829076286,151167254.86,2026 M07
FRN,2025 Q4,141.7057413869658,1.7882392073521973,7.1882445818076235,8.65655397282921,-0.5490426180238217,158.789736530931,116125102.13,2026 M07
