Dealer Number,Corporate Dealer Group,DLA Loss Scalar,Dealer Level,Loss Ratio
28506,Hertz Car Sales,0.85,B,0.877231756354512
28507,Hertz Car Sales,0.85,B,0.877231756354512
28508,Hertz Car Sales,1.0,C,0.877231756354512
28509,Hertz Car Sales,0.85,B,0.877231756354512
28510,Hertz Car Sales,0.85,B,0.877231756354512
28511,Hertz Car Sales,0.7,A,0.0
28512,Hertz Car Sales,0.85,B,0.877231756354512
28513,Hertz Car Sales,0.85,B,0.877231756354512
28514,Hertz Car Sales,1.0,C,0.877231756354512
28515,Hertz Car Sales,0.85,B,0.877231756354512
28516,Hertz Car Sales,1.0,C,0.877231756354512
28517,Hertz Car Sales,1.0,C,0.847764045648648
28518,Hertz Car Sales,0.85,B,0.877231756354512
28519,Hertz Car Sales,0.85,B,0.877231756354512
28520,Hertz Car Sales,0.85,B,0.451733999875361
28521,Hertz Car Sales,0.85,B,0.877231756354512
28522,Hertz Car Sales,0.85,B,0.877231756354512
28523,Hertz Car Sales,0.85,B,0.877231756354512
28524,Hertz Car Sales,1.0,C,0.877231756354512
28525,Hertz Car Sales,0.85,B,0.877231756354512
28526,Hertz Car Sales,1.4,E,1.35267924110609
28527,Hertz Car Sales,0.85,B,0.877231756354512
28528,Hertz Car Sales,0.85,B,0.877231756354512
28529,Hertz Car Sales,0.85,B,0.877231756354512
28530,Hertz Car Sales,0.85,B,0.877231756354512
28531,Hertz Car Sales,1.0,C,1.09508778044297
28532,Hertz Car Sales,1.0,C,0.877231756354512
28533,Hertz Car Sales,1.0,C,0.877231756354512
28534,Hertz Car Sales,0.7,A,1.0
28535,Hertz Car Sales,0.85,B,0.877231756354512
28536,Hertz Car Sales,0.85,B,0.877231756354512
28883,Hertz Car Sales,0.85,B,0.877231756354512
29013,Hertz Car Sales,0.85,B,0.877231756354512
29018,Hertz Car Sales,0.85,B,0.877231756354512
29452,Hertz Car Sales,0.85,B,0.877231756354512
29609,Hertz Car Sales,0.85,B,0.877231756354512
31169,Hertz Car Sales,1.0,C,1.09508778044297
32845,Hertz Car Sales,1.0,C,0.877231756354512
58934,Hertz Car Sales,0.85,B,0.877231756354512
58935,Hertz Car Sales,0.85,B,0.877231756354512
6333,Penske,1.0,C,1.02118177788871
16099,Penske,0.7,A,0.474212244168555
16102,Penske,0.7,A,0.474212244168555
16103,Penske,1.0,C,1.02118177788871
23328,Penske,1.0,C,1.02118177788871
23329,Penske,1.0,C,1.02118177788871
23330,Penske,1.0,C,1.02118177788871
23331,Penske,1.0,C,1.02118177788871
23332,Penske,1.0,C,1.02118177788871
23334,Penske,1.0,C,1.02118177788871
23335,Penske,1.0,C,1.02118177788871
23336,Penske,1.0,C,1.02118177788871
23337,Penske,1.0,C,1.02118177788871
23339,Penske,1.0,C,1.16135942513602
23340,Penske,1.0,C,1.16135942513602
23341,Penske,1.0,C,1.02118177788871
23342,Penske,0.85,B,1.0
23343,Penske,0.85,B,0.802666504617552
23383,Penske,1.0,C,1.02118177788871
23397,Penske,1.0,C,1.02118177788871
23398,Penske,1.0,C,1.02118177788871
23399,Penske,1.0,C,1.02118177788871
23400,Penske,1.0,C,1.02118177788871
23401,Penske,1.35,E,1.22177788042927
23402,Penske,1.0,C,1.02118177788871
23403,Penske,1.35,E,1.22177788042927
23418,Penske,1.0,C,1.02118177788871
23430,Penske,1.35,E,1.80355117027375
23431,Penske,1.35,E,1.80355117027375
23432,Penske,1.35,E,1.80355117027375
23433,Penske,1.35,E,1.81025826333094
23434,Penske,1.35,E,1.81025826333094
23435,Penske,1.35,E,1.81025826333094
23436,Penske,1.35,E,1.0
23459,Penske,1.0,C,1.02118177788871
23464,Penske,1.0,C,1.27144853764807
23465,Penske,1.0,C,1.02118177788871
23466,Penske,1.0,C,1.02118177788871
23467,Penske,1.0,C,1.02118177788871
23468,Penske,1.0,C,1.49953714077898
23469,Penske,1.0,C,1.49953714077898
23471,Penske,1.0,C,1.49953714077898
23472,Penske,1.0,C,1.49953714077898
23500,Penske,1.35,E,1.0
23523,Penske,1.0,C,1.02118177788871
23669,Penske,1.0,C,1.02118177788871
23670,Penske,1.0,C,1.02118177788871
23671,Penske,1.0,C,1.02118177788871
23672,Penske,1.0,C,1.02118177788871
23674,Penske,0.85,B,0.802666504617552
23675,Penske,0.85,B,0.802666504617552
23677,Penske,0.85,B,1.0
23707,Penske,1.0,C,1.02118177788871
23708,Penske,1.0,C,1.02118177788871
23709,Penske,1.0,C,1.02118177788871
23710,Penske,1.0,C,1.02118177788871
23711,Penske,1.0,C,1.02118177788871
23712,Penske,1.0,C,1.02118177788871
23713,Penske,1.0,C,1.02118177788871
23726,Penske,1.0,C,1.02118177788871
23728,Penske,1.0,C,1.02118177788871
23729,Penske,1.0,C,1.02118177788871
23730,Penske,1.0,C,1.02118177788871
23731,Penske,1.0,C,1.02118177788871
23732,Penske,1.0,C,1.02118177788871
23733,Penske,1.0,C,1.02118177788871
23734,Penske,1.0,C,1.02118177788871
23735,Penske,1.0,C,1.02118177788871
23736,Penske,1.0,C,1.02118177788871
23737,Penske,1.0,C,1.02118177788871
23738,Penske,1.0,C,1.02118177788871
23757,Penske,1.0,C,1.02118177788871
23758,Penske,1.0,C,1.02118177788871
23759,Penske,1.0,C,1.02118177788871
23760,Penske,1.0,C,1.02118177788871
23762,Penske,1.0,C,1.02118177788871
23763,Penske,1.0,C,1.02118177788871
23765,Penske,1.0,C,1.02118177788871
