,FRN | 2023 Q3,AN | 2023 Q3,STG | 2023 Q3,FLD | 2023 Q3,FRN | 2023 Q4,AN | 2023 Q4,STG | 2023 Q4,FLD | 2023 Q4,FRN | 2024 Q1,AN | 2024 Q1,STG | 2024 Q1,FLD | 2024 Q1,FRN | 2024 Q2,AN | 2024 Q2,STG | 2024 Q2,FLD | 2024 Q2,FRN | 2024 Q3,AN | 2024 Q3,STG | 2024 Q3,FLD | 2024 Q3,FRN | 2024 Q4,AN | 2024 Q4,STG | 2024 Q4,FLD | 2024 Q4,FRN | 2025 Q1,AN | 2025 Q1,STG | 2025 Q1,FLD | 2025 Q1,FRN | 2025 Q2,AN | 2025 Q2,STG | 2025 Q2,FLD | 2025 Q2,FRN | 2025 Q3,AN | 2025 Q3,STG | 2025 Q3,FLD | 2025 Q3,FRN | 2025 Q4,AN | 2025 Q4,STG | 2025 Q4,FLD | 2025 Q4,FRN | 2026 Q1,AN | 2026 Q1,STG | 2026 Q1,FLD | 2026 Q1
00_initial,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01_prev_aca_chargeoff,1.0001703577512777,1.000232738557021,1.0001428571428572,1.0001517450682853,1.0002362824888422,1.000190114068441,1.0002359603586597,1.0001481481481482,1.0002033110659307,1.000314836678473,1.000085154697701,1.0002240477968634,1.000180280127583,1.0003048780487804,1.0002341372044017,1.0001212856276531,1.0002942258183156,1.0003678724708769,1.0001596424010217,1.0006616257088845,1.0003471017007983,1.0002487562189055,1.0001916932907349,1.0004085801838611,1.0003382318637741,1.0003201707577374,1.0003428110506152,1.000548081714001,1.0005694760820045,1.0004742794600512,1.0003686258447675,1.0004226096143687,1.0002975258377702,1.0003931847968546,1.000240706071142,1.0001595744680851,1.000270551508845,1.0002866972477065,1.000278164116829,1.000211528291909,1.0005291005291006,1.0003533568904595,1.0003083247687563,1.00070796460177
02_small_amt_financed,1.0021720613287903,1.0006982156710629,1.0007857142857142,1.0003034901365706,1.0012864268836965,1.000380228136882,1.0010382255781027,1.0005925925925925,1.0010455997676444,1.000590318772137,1.000794777178541,1.0007468259895445,1.0009984745527665,1.0005662020905923,1.000655584172325,1.0004851425106125,1.0011217359323281,1.0008583690987125,1.0008939974457216,1.000850661625709,1.0003471017007983,1.0002487562189055,1.0001916932907349,1.0004085801838611,1.0003382318637741,1.0003201707577374,1.0003428110506152,1.000548081714001,1.0005694760820045,1.0004742794600512,1.0003686258447675,1.0004226096143687,1.0002975258377702,1.0003931847968546,1.000240706071142,1.0001595744680851,1.000270551508845,1.0002866972477065,1.000278164116829,1.000211528291909,1.0005291005291006,1.0003533568904595,1.0003083247687563,1.00070796460177
03_zero_cash_down,1.002947189097104,1.0022498060512026,1.00315,1.0022761760242793,1.0022315568390654,1.0035487959442333,1.0036904200094385,1.004014814814815,1.0014260819053151,1.0032664305391579,1.0028129435140505,1.002837938760269,1.0016516433227014,1.0024825783972124,1.0029805666120346,1.0046088538508187,1.0018609783008459,1.0030042918454936,1.0031002554278416,1.003506616257089,1.0003471017007983,1.0002487562189055,1.0001916932907349,1.0004085801838611,1.0003382318637741,1.0003201707577374,1.0003428110506152,1.000548081714001,1.0005694760820045,1.0004742794600512,1.0003686258447675,1.0004226096143687,1.0002975258377702,1.0003931847968546,1.000240706071142,1.0001595744680851,1.000270551508845,1.0002866972477065,1.000278164116829,1.000211528291909,1.0005291005291006,1.0003533568904595,1.0003083247687563,1.00070796460177
04_high_mileage,1.004701873935264,1.0068269976726143,1.0064007142857143,1.002731411229135,1.003439222893148,1.0079277566539921,1.0066163284568193,1.004325925925926,1.0030685448736565,1.0066627312081857,1.0056034629577064,1.0032113517550412,1.0024573568159756,1.0043205574912892,1.004638726293608,1.004972710733778,1.0022140492828246,1.0046045370938075,1.004294380587484,1.003695652173913,1.0010933703575147,1.0031094527363185,1.0022683706070288,1.0007150153217568,1.00073477956613,1.0017075773745996,1.0018350473885864,1.0012954658694568,1.0008099215388508,1.0011674571324334,1.000921564611919,1.000581088219757,1.0005637331663013,1.0011795543905637,1.0009093340465365,1.000212765957447,1.0005827263267428,1.0009747706422019,1.0007649513212795,1.000211528291909,1.0009920634920635,1.0010600706713781,1.0006166495375128,1.0008849557522124
05_high_pti,1.0050000000000001,1.0074553917765712,1.0066864285714285,1.0047040971168437,1.0036755053819901,1.0081178707224334,1.006757904672015,1.0050666666666666,1.0032282892826025,1.007099567099567,1.0057453874538744,1.0036594473487679,1.0026237692414368,1.0045818815331011,1.0050601732615312,1.005518496058217,1.002453107760206,1.005229920294298,1.0048052362707536,1.0042627599243859,1.0010933703575147,1.0031094527363185,1.0022683706070288,1.0007150153217568,1.00073477956613,1.0017075773745996,1.0018350473885864,1.0012954658694568,1.0008099215388508,1.0011674571324334,1.000921564611919,1.000581088219757,1.0005637331663013,1.0011795543905637,1.0009093340465365,1.000212765957447,1.0005827263267428,1.0009747706422019,1.0007649513212795,1.000211528291909,1.0009920634920635,1.0010600706713781,1.0006166495375128,1.0008849557522124
06_car_make,0.9931384156729132,0.9927618308766486,0.9931514285714286,0.9888922610015175,0.9931399317406143,0.9908555133079849,0.9915285512033978,0.9914962962962963,0.9937670636073191,0.9902833530106259,0.9890275617371559,0.9906646751306946,0.9901288309527112,0.9848824041811847,0.9867974713181925,0.9922680412371134,0.987226921662376,0.9834144696505212,0.9832151979565774,0.9881190926275991,0.9565359250260326,0.9542972636815922,0.9533801916932907,0.9590398365679265,0.9519897364124097,0.954887940234792,0.9529138939302279,0.960039860488291,0.9491698304226779,0.9493104706311565,0.9443784558672946,0.9518647649234021,0.9455934857500785,0.9413193534294451,0.942928590532228,0.9511063829787235,0.9359375650364204,0.9378841743119266,0.9306988873435327,0.949867794817557,0.9359126984126985,0.9318021201413429,0.9210483042137719,0.9530973451327434
07_theft_risk,0.9856751460817718,0.9845716757176105,0.9858551742857142,0.9830973596358117,0.9859835363612497,0.9830184980988591,0.9834555276073619,0.9852215111111112,0.9882033633459192,0.9831525265643446,0.9824929397388589,0.9863921583271099,0.9835148457911523,0.9771841594076653,0.9789503966284241,0.9881638872043663,0.9803806693637366,0.9745390944206008,0.9736354118773946,0.9811779867674859,0.9565359250260326,0.9542972636815922,0.9533801916932907,0.9590398365679265,0.9519897364124097,0.954887940234792,0.9529138939302279,0.960039860488291,0.9491698304226779,0.9493104706311565,0.9443784558672946,0.9518647649234021,0.9455934857500785,0.9413193534294451,0.942928590532228,0.9511063829787235,0.9359375650364204,0.9378841743119266,0.9306988873435327,0.949867794817557,0.9359126984126985,0.9318021201413429,0.9210483042137719,0.9530973451327434
08_mcy_low_mileage,0.9856751460817718,0.9845716757176105,0.9858551742857142,0.9830973596358117,0.9859835363612497,0.9830184980988591,0.9834555276073619,0.9852215111111112,0.9882033633459192,0.9831525265643446,0.9824929397388589,0.9863921583271099,0.9835148457911523,0.9771841594076653,0.9789503966284241,0.9881638872043663,0.9803806693637366,0.9745390944206008,0.9736354118773946,0.9811779867674859,0.9565359250260326,0.9542972636815922,0.9533801916932907,0.9590398365679265,0.9519897364124097,0.954887940234792,0.9529138939302279,0.960039860488291,0.9491698304226779,0.9493104706311565,0.9443784558672946,0.9518647649234021,0.9455934857500785,0.9413193534294451,0.942928590532228,0.9511063829787235,0.9359375650364204,0.9378841743119266,0.9306988873435327,0.949867794817557,0.9359126984126985,0.9318021201413429,0.9210483042137719,0.9530973451327434
09_weekend_weekday,0.9899293307708689,0.9846666521334368,0.9888472627714285,0.9814353810318663,0.9907840765817801,0.9836910699619772,0.9852327709579991,0.9830715057777779,0.9922167224803952,0.9837818316410863,0.9843243331064434,0.9876901662434653,0.9872308023103593,0.9772595557055749,0.9806328501030203,0.9893000452395392,0.9830494649503494,0.9751132089270387,0.975291667816092,0.9851939396030247,0.9586406803193335,0.9538502487562188,0.9545116932907348,0.9592226762002041,0.9521905994868204,0.9520199928850942,0.9524795926598103,0.9588649725959142,0.9502351050366995,0.9475421014228382,0.944302949006758,0.9516252509244584,0.9464125587222048,0.9409775447793796,0.9432638405990905,0.9510051063829787,0.9356987721123826,0.9354776949541284,0.9296464186369957,0.9491533580116339,0.9348253968253969,0.9289805653710247,0.919692291880781,0.9527575221238938
