model_version,lob,term,tag,charge_off_month,pay_off_month,total_loss_month
franchise4.0,AN,36,0,14.277536137505017,24.875966795709346,12.437983397854673
franchise4.0,AN,36,1,16.04743179672345,26.257964951026526,13.128982475513263
franchise4.0,AN,36,2,17.24006846806864,27.639963106343714,13.819981553171857
franchise4.0,AN,36,3,19.00318081910157,29.0219612616609,14.51098063083045
franchise4.0,AN,36,4,15.762689565723102,30.40395941697808,15.20197970848904
franchise4.0,AN,36,5,17.48673839699532,31.785957572295267,15.892978786147633
franchise4.0,AN,36,6,18.725890926452927,33.16795572761245,16.583977863806226
franchise4.0,AN,36,7,20.466251917323618,34.549953882929636,17.274976941464818
franchise4.0,AN,36,8,15.734156012942332,35.93195203824683,17.965976019123413
franchise4.0,AN,36,9,17.460458470872155,37.31395019356401,18.656975096782006
franchise4.0,AN,36,10,18.39019822846519,38.695948348881195,19.347974174440598
franchise4.0,AN,36,11,19.81556628685476,40.07794650419838,20.03897325209919
franchise4.0,AN,36,12,14.023118389074206,41.459944659515564,20.729972329757782
franchise4.0,AN,36,13,16.330117456879243,42.841942814832755,21.420971407416378
franchise4.0,AN,36,14,17.178781131994615,44.22394097014994,22.11197048507497
franchise4.0,AN,36,15,19.344081816389973,45.605939125467124,22.802969562733562
franchise4.0,AN,48,0,15.86392904167224,27.639963106343714,13.819981553171857
franchise4.0,AN,48,1,17.830479774137164,29.175516612251695,14.587758306125847
franchise4.0,AN,48,2,19.155631631187376,30.71107011815968,15.35553505907984
franchise4.0,AN,48,3,21.114645354557297,32.24662362406766,16.12331181203383
franchise4.0,AN,48,4,17.51409951747011,33.78217712997564,16.89108856498782
franchise4.0,AN,48,5,19.4297093299948,35.31773063588363,17.658865317941814
franchise4.0,AN,48,6,20.806545473836586,36.85328414179161,18.426642070895806
franchise4.0,AN,48,7,22.74027990813735,38.388837647699596,19.194418823849798
franchise4.0,AN,48,8,17.482395569935925,39.92439115360758,19.96219557680379
franchise4.0,AN,48,9,19.400509412080172,41.459944659515564,20.729972329757782
franchise4.0,AN,48,10,20.433553587183543,42.99549816542355,21.497749082711774
franchise4.0,AN,48,11,22.017295874283068,44.531051671331525,22.265525835665763
franchise4.0,AN,48,12,15.581242654526893,46.066605177239516,23.033302588619758
franchise4.0,AN,48,13,18.144574952088046,47.6021586831475,23.80107934157375
franchise4.0,AN,48,14,19.087534591105126,49.13771218905548,24.56885609452774
franchise4.0,AN,48,15,21.493424240433303,50.67326569496347,25.336632847481734
franchise4.0,AN,60,0,17.450321945839466,30.40395941697809,15.201979708489045
franchise4.0,AN,60,1,19.613527751550883,32.09306827347687,16.046534136738433
franchise4.0,AN,60,2,21.071194794306116,33.78217712997565,16.891088564987825
franchise4.0,AN,60,3,23.22610989001303,35.471285986474435,17.735642993237217
franchise4.0,AN,60,4,19.265509469217125,37.16039484297321,18.580197421486606
franchise4.0,AN,60,5,21.372680262994283,38.849503699471995,19.424751849735998
franchise4.0,AN,60,6,22.88720002122025,40.53861255597078,20.26930627798539
franchise4.0,AN,60,7,25.014307898951092,42.22772141246956,21.11386070623478
franchise4.0,AN,60,8,19.230635126929517,43.91683026896835,21.958415134484174
franchise4.0,AN,60,9,21.340560353288193,45.60593912546713,22.802969562733566
franchise4.0,AN,60,10,22.476908945901904,47.29504798196591,23.647523990982954
franchise4.0,AN,60,11,24.21902546171138,48.984156838464685,24.492078419232342
franchise4.0,AN,60,12,17.139366919979587,50.673265694963476,25.336632847481738
franchise4.0,AN,60,13,19.959032447296856,52.36237455146226,26.18118727573113
franchise4.0,AN,60,14,20.996288050215643,54.05148340796104,27.02574170398052
franchise4.0,AN,60,15,23.642766664476635,55.74059226445982,27.87029613222991
franchise4.0,AN,72,0,19.03671485000669,33.16795572761246,16.58397786380623
franchise4.0,AN,72,1,21.3965757289646,35.010619934702035,17.505309967351018
franchise4.0,AN,72,2,22.986757957424853,36.85328414179162,18.42664207089581
franchise4.0,AN,72,3,25.33757442546876,38.695948348881195,19.347974174440598
franchise4.0,AN,72,4,21.016919420964136,40.53861255597077,20.269306277985386
franchise4.0,AN,72,5,23.315651195993762,42.381276763060356,21.190638381530178
franchise4.0,AN,72,6,24.967854568603904,44.22394097014994,22.11197048507497
franchise4.0,AN,72,7,27.288335889764824,46.066605177239516,23.033302588619758
franchise4.0,AN,72,8,20.97887468392311,47.9092693843291,23.95463469216455
franchise4.0,AN,72,9,23.280611294496207,49.751933591418684,24.875966795709342
franchise4.0,AN,72,10,24.520264304620255,51.59459779850826,25.79729889925413
franchise4.0,AN,72,11,26.420755049139682,53.43726200559784,26.71863100279892
franchise4.0,AN,72,12,18.697491185432273,55.27992621268742,27.63996310634371
franchise4.0,AN,72,13,21.77348994250566,57.122590419777005,28.561295209888502
franchise4.0,AN,72,14,22.905041509326153,58.96525462686658,29.48262731343329
franchise4.0,AN,72,15,25.792109088519965,60.807918833956165,30.403959416978083
franchise4.0,ENT,36,0,16.60736108386049,28.935255978883625,14.467627989441812
franchise4.0,ENT,36,1,18.66607037447723,30.54277019993271,15.271385099966356
